feature_id,layer,cwe_id,score,hist_dist,delta_mu,ks_stat,freq_unsafe,freq_safe,kept,source
19907,16,CWE-120,0.1281,0.0857,0.1916,0.0857,0.1429,0.1778,False,cyber_dev
14024,16,CWE-120,0.1277,0.0714,0.2121,0.0714,0.0714,0.003,False,cyber_dev
10028,16,CWE-120,0.1272,0.0714,0.2108,0.0714,0.0714,0.0844,False,cyber_dev
8180,16,CWE-120,0.1266,0.0714,0.2093,0.0714,0.0714,0.006,False,cyber_dev
21892,16,CWE-120,0.1265,0.0857,0.1877,0.0857,0.1429,0.1816,False,cyber_dev
15294,16,CWE-120,0.1258,0.0714,0.2145,0.0571,0.0714,0.0113,False,cyber_dev
24432,16,CWE-120,0.1253,0.0714,0.2061,0.0714,0.0714,0.003,False,cyber_dev
18114,16,CWE-120,0.1251,0.0714,0.2056,0.0714,0.0714,0.0,False,cyber_dev
3999,16,CWE-120,0.125,0.0714,0.2053,0.0714,0.0714,0.0023,False,cyber_dev
27880,16,CWE-120,0.1249,0.0714,0.205,0.0714,0.0714,0.0023,False,cyber_dev
4718,16,CWE-120,0.1248,0.0714,0.2121,0.0571,0.0714,0.0008,False,cyber_dev
26284,16,CWE-120,0.1246,0.0714,0.2043,0.0714,0.0714,0.0015,False,cyber_dev
29750,16,CWE-120,0.1243,0.0714,0.2037,0.0714,0.0714,0.0158,False,cyber_dev
15693,16,CWE-120,0.1238,0.0857,0.181,0.0857,0.1429,0.1899,False,cyber_dev
20510,16,CWE-120,0.1238,0.0857,0.181,0.0857,0.1429,0.1794,False,cyber_dev
25441,16,CWE-120,0.1237,0.0429,0.245,0.0429,0.0,0.0234,False,cyber_dev
9144,16,CWE-120,0.1235,0.1286,0.1515,0.0571,0.0714,0.15,False,cyber_dev
25977,16,CWE-120,0.1232,0.0714,0.2008,0.0714,0.0714,0.0068,False,cyber_dev
15917,16,CWE-120,0.1227,0.0714,0.1995,0.0714,0.0714,0.0053,False,cyber_dev
15432,16,CWE-120,0.1226,0.0429,0.2423,0.0429,0.0,0.0226,False,cyber_dev
32376,16,CWE-120,0.1222,0.0714,0.1983,0.0714,0.0714,0.0045,False,cyber_dev
25366,16,CWE-120,0.1219,0.0714,0.1975,0.0714,0.0714,0.0023,False,cyber_dev
10982,16,CWE-120,0.1218,0.0714,0.1974,0.0714,0.0714,0.0038,False,cyber_dev
3356,16,CWE-120,0.1217,0.0714,0.1971,0.0714,0.0714,0.003,False,cyber_dev
17384,16,CWE-120,0.1216,0.0714,0.1969,0.0714,0.0714,0.0038,False,cyber_dev
17667,16,CWE-120,0.1214,0.0714,0.1965,0.0714,0.0714,0.0121,False,cyber_dev
4316,16,CWE-120,0.1214,0.0714,0.1963,0.0714,0.0714,0.0203,False,cyber_dev
30345,16,CWE-120,0.1209,0.0714,0.1951,0.0714,0.0714,0.0023,False,cyber_dev
10865,16,CWE-120,0.1209,0.0714,0.1951,0.0714,0.0714,0.009,False,cyber_dev
17989,16,CWE-120,0.1208,0.0714,0.1949,0.0714,0.0714,0.009,False,cyber_dev
2146,16,CWE-120,0.12,0.0714,0.1929,0.0714,0.0714,0.0158,False,cyber_dev
4782,16,CWE-120,0.1199,0.0714,0.1926,0.0714,0.0714,0.0113,False,cyber_dev
29031,16,CWE-120,0.119,0.0714,0.1903,0.0714,0.0714,0.0008,False,cyber_dev
8498,16,CWE-120,0.1189,0.0714,0.1902,0.0714,0.0714,0.0045,False,cyber_dev
15078,16,CWE-120,0.1189,0.0714,0.19,0.0714,0.0714,0.0015,False,cyber_dev
4056,16,CWE-120,0.1186,0.0714,0.1894,0.0714,0.0714,0.0008,False,cyber_dev
6986,16,CWE-327,0.8625,0.3143,1.7421,0.2,0.8929,0.9208,True,cyber_dev
9342,16,CWE-327,0.6359,0.3786,1.0934,0.2357,0.6071,0.425,True,cyber_dev
1334,16,CWE-327,0.3605,0.2714,0.5727,0.1143,0.7143,0.7083,True,cyber_dev
31902,16,CWE-327,0.3553,0.25,0.5382,0.2,0.25,0.0685,True,cyber_dev
23278,16,CWE-327,0.3405,0.1,0.7012,0.1,0.1429,0.179,True,cyber_dev
29862,16,CWE-327,0.3367,0.2786,0.4881,0.15,0.3571,0.2772,True,cyber_dev
7839,16,CWE-327,0.3342,0.3,0.4712,0.1286,0.5357,0.4524,True,cyber_dev
9465,16,CWE-327,0.3289,0.2143,0.5259,0.1643,0.4286,0.3145,True,cyber_dev
14376,16,CWE-327,0.3106,0.1714,0.5514,0.1071,0.1786,0.2765,True,cyber_dev
26334,16,CWE-327,0.3103,0.0929,0.6365,0.0929,0.1429,0.1813,True,cyber_dev
